	價格	冰箱	冷氣	區	地址	坪數	型態	天然瓦斯	床	座標	性別要求	押金	捷運站	最短租期	朝向	格局	桌子	椅子	樓層	沙發	洗衣機	火車站	熱水器	產權登記	種類	第四台	管理費	網路	編號	總樓層數	衣櫃	身份要求	車 位	開伙	電視	養寵物	現況
33	13500.0	1	1	中山區	台北市中山區錦州街30巷	10.0	電梯大樓	1	1	0	男女生皆可	二個月	1	一年	坐北朝南	有陽臺	1	1	4	1	1	0	1	已辦 	0	1	500元/月	1	6305280	0	1	學生、上班族、家庭	無	不可以	1	不可以	獨立套房
34	13000.0	1	1	文山區	台北市文山區興隆路一段83巷	9.0	公寓	1	1	0	男女生皆可	二個月	1	3月	坐北朝南	0	1	1	4	1	1	0	1	已辦 	0	1	無	1	6396112	0	1	學生、上班族、家庭	無	不可以	1	不可以	獨立套房
35	11500.0	1	1	內湖區	台北市內湖區康樂街	7.0	公寓	0	1	0	男女生皆可	二個月	1	一年	0	有陽臺	1	1	5	0	1	1	1	已辦 	0	1	無	1	6334861	0	1	學生、上班族、家庭	無	可以	1	不可以	獨立套房
36	13000.0	1	1	內湖區	台北市內湖區金湖路	8.0	公寓	0	1	0	男女生皆可	二個月	1	一年	0	0	1	1	5	0	1	0	1	已辦 	0	1	--	1	6334872	0	1	學生、上班族、家庭	無	不可以	1	不可以	獨立套房
37	10000.0	1	1	內湖區	台北市內湖區內湖路一段411巷	10.0	公寓	0	1	0	男女生皆可	二個月	1	一年	0	0	1	1	頂樓加蓋	0	1	0	1	已辦 	0	1	無	1	6354820	0	1	學生、上班族	無	可以	1	不可以	獨立套房
38	12000.0	1	1	內湖區	台北市內湖區內湖路三段	10.0	公寓	0	0	0	男女生皆可	二個月	1	一年	0	開放式格局	1	1	5	1	1	0	1	已辦 	0	1	無	1	6364032	0	1	0	無	不可以	1	不可以	獨立套房
39	15000.0	1	1	大同區	台北市大同區延平北路一段69巷13號	6.0	電梯大樓	0	1	0	男女生皆可	二個月	1	1年	坐北朝南	0	1	1	3	0	1	1	1	已辦 	0	1	1000元/月	1	6313674	0	1	學生、上班族、家庭	無	不可以	1	不可以	獨立套房
40	29900.0	1	1	萬華區	台北市萬華區開封街二段63號	15.0	透天厝	0	1	0	男女生皆可	二個月	1	三個月	0	開放式格局	1	1	3	0	0	1	1	未辦 	0	1	無	1	6352092	0	1	學生、上班族、家庭	無	可以	1	可以	獨立套房
41	12000.0	1	1	文山區	台北市文山區羅斯福路五段236巷	4.5	公寓	0	1	0	男女生皆可	面議	0	三個月	0	0	1	1	2	0	1	0	1	已辦 	0	1	--	1	6372159	0	1	學生、上班族	無	不可以	1	不可以	獨立套房
42	13500.0	1	1	萬華區	台北市萬華區環河南路一段71號	5.7	電梯大樓	0	1	0	男女生皆可	二個月	1	半年	0	開放式格局	1	1	9	1	1	1	1	未辦 	0	1	--	1	6352090	0	1	學生、上班族、家庭	無	可以	1	可以	獨立套房
