,價格,冰箱,冷氣,區,地址,坪數,型態,天然瓦斯,床,座標,性別要求,押金,捷運站,最短租期,朝向,格局,桌子,椅子,樓層,沙發,洗衣機,火車站,熱水器,產權登記,種類,第四台,管理費,網路,編號,總樓層數,衣櫃,身份要求,車 位,開伙,隔間材料,電視,養寵物,現況
67,10888,1,1,南港區,台北市南港區橫科路4巷,9,公寓,0,1,0,男女生皆可,二個月,1,14月,坐北朝南,0,1,1,4,1,1,1,1,已辦 ,0,1,40,1,6340723,5,1,學生、上班族,無,不可以,0,1,可以,獨立套房
68,18000,1,1,中山區,台北市中山區林森北路,11,電梯大樓,0,1,0,男女生皆可,面議,0,一年,0,0,1,1,3,1,1,0,1,未辦 ,0,1,750,1,6339233,3,1,學生、上班族、家庭,無,可以,0,1,可以,獨立套房
69,11000,1,1,信義區,台北市信義區和平東路三段435巷,8,公寓,0,1,0,男女生皆可,二個月,1,一年,坐南朝北,有陽臺,1,1,3,1,1,0,1,已辦 ,0,1,0,1,6408451,4,1,學生、上班族、家庭,無,可以,0,1,不可以,獨立套房
70,17300,1,1,中山區,台北市中山區林森北路107巷,11,電梯大樓,0,1,0,女生,二個月,1,一年,坐南朝北,0,1,1,6,1,1,0,1,已辦 ,0,0,1320,0,6402474,7,1,上班族,無,可以,0,1,不可以,獨立套房
71,15800,1,1,松山區,台北市松山區南京東路五段,8,公寓,0,1,0,男女生皆可,二個月,1,一年,坐北朝南,0,1,1,4,0,1,0,1,已辦 ,0,1,0,1,6358931,5,1,上班族,無,不可以,0,1,不可以,獨立套房
72,14000,1,1,萬華區,台北市萬華區康定路281號,7,公寓,0,1,0,男女生皆可,二個月,1,半年,坐北朝南,有陽臺,1,1,2,1,1,1,1,已辦 ,0,1,0,1,6324238,4,1,學生、上班族、家庭,無,可以,0,1,不可以,獨立套房
73,15000,1,1,中正區,台北市中正區延平北路一段69巷13號,6,電梯大樓,0,1,0,男女生皆可,二個月,1,1年,坐北朝南,0,1,1,3,0,1,1,1,已辦 ,0,1,1000,1,6313670,5,1,學生、上班族、家庭,無,不可以,0,1,不可以,獨立套房
74,11500,1,1,內湖區,台北市內湖區康樂街,7,公寓,0,1,0,男女生皆可,二個月,1,一年,0,有陽臺,1,1,5,0,1,1,1,已辦 ,0,1,0,1,6334861,5,1,學生、上班族、家庭,無,可以,0,1,不可以,獨立套房
75,13000,1,1,內湖區,台北市內湖區金湖路,8,公寓,0,1,0,男女生皆可,二個月,1,一年,0,0,1,1,5,0,1,0,1,已辦 ,0,1,0,1,6334872,5,1,學生、上班族、家庭,無,不可以,0,1,不可以,獨立套房
76,10000,1,1,內湖區,台北市內湖區內湖路一段411巷,10,公寓,0,1,0,男女生皆可,二個月,1,一年,0,0,1,1,頂樓加蓋,0,1,0,1,已辦 ,0,1,0,1,6354820,4,1,學生、上班族,無,可以,0,1,不可以,獨立套房
77,28000,1,1,信義區,台北市信義區和平東路三段,12,電梯大樓,0,1,0,男女生皆可,二個月,1,1月,坐西南朝東北,0,1,1,5,1,1,0,1,已辦 ,0,1,0,1,6360016,12,1,學生、上班族、家庭,無,可以,0,1,不可以,獨立套房
78,29000,1,1,北投區,台北市北投區光明路,12,公寓,0,1,0,男女生皆可,二個月,0,一年,0,0,1,1,2,1,1,0,1,已辦 ,0,1,0,1,6366598,5,1,0,無,可以,0,1,不可以,獨立套房
79,20000,1,1,北投區,台北市北投區光明路,12,公寓,0,1,0,男女生皆可,二個月,0,一年,0,0,1,1,3,0,1,0,1,已辦 ,0,1,0,1,6366633,5,1,0,無,可以,0,1,不可以,獨立套房
80,15000,1,1,大同區,台北市大同區延平北路一段69巷13號,6,電梯大樓,0,1,0,男女生皆可,二個月,1,1年,坐北朝南,0,1,1,3,0,1,1,1,已辦 ,0,1,1000,1,6313674,5,1,學生、上班族、家庭,無,不可以,0,1,不可以,獨立套房
81,18000,1,1,萬華區,台北市萬華區和平西路三段33號,10,透天厝,0,1,0,男女生皆可,二個月,1,半年,坐南朝北,有陽臺,1,1,2,1,1,1,1,已辦 ,0,1,0,1,6343423,2,1,學生、上班族、家庭,無,可以,0,1,不可以,獨立套房
82,22000,1,1,松山區,台北市松山區八德路四段,13,電梯大樓,0,1,0,男女生皆可,二個月,0,一年,0,樓中樓、有陽臺,1,1,6,1,1,0,1,已辦 ,0,0,0,0,6363918,13,1,學生、上班族、家庭,無,可以,0,1,可以,獨立套房
83,10000,1,1,大安區,台北市大安區師大路,6,公寓,0,1,0,男女生皆可,二個月,1,一年,坐南朝北,有陽臺,1,1,6,0,1,1,1,已辦 ,0,1,0,1,6314723,6,1,學生、上班族、家庭,無,不可以,0,1,不可以,獨立套房
84,11000,1,1,文山區,台北市文山區興隆路一段202巷,8,公寓,0,1,0,女生,二個月,1,一年,坐北朝南,0,0,0,3,0,1,0,1,已辦 ,0,1,0,1,6322530,4,1,學生、上班族、家庭,無,可以,0,1,不可以,獨立套房
85,5200,1,1,文山區,台北市文山區木新路二段96巷,6,公寓,1,1,0,男女生皆可,二個月,0,一年,坐東朝西,0,1,1,1,0,1,0,1,已辦 ,0,1,0,1,6331115,1,1,學生、上班族、家庭,無,可以,0,0,不可以,獨立套房
86,11000,0,1,中正區,台北市中正區公園路20巷13號,5,公寓,0,1,0,男女生皆可,二個月,1,一年,坐北朝南,0,1,1,4,0,1,1,1,已辦 ,0,1,0,1,6360499,4,1,0,無,不可以,0,1,不可以,獨立套房
87,13000,0,1,文山區,台北市文山區木新路二段66巷,13,電梯大樓,0,1,0,男女生皆可,二個月,0,一年,坐西南朝東北,有陽臺,0,0,5,1,0,0,1,已辦 ,0,0,1100,0,6384702,6,1,學生、上班族、家庭,無,可以,0,0,不可以,獨立套房
88,22800,1,1,中山區,台北市中山區雙城街43巷,12,公寓,1,1,0,女生,二個月,1,一年,坐北朝南,有陽臺,1,1,3,1,1,0,1,已辦 ,0,1,0,1,6386540,4,1,學生、上班族、家庭,無,可以,0,1,不可以,獨立套房
89,8500,1,1,文山區,台北市文山區羅斯福路五段,7,公寓,1,1,0,男女生皆可,二個月,1,一年,0,有陽臺,1,1,4,0,1,0,1,已辦 ,0,1,0,1,6337262,4,1,學生、上班族,無,可以,0,1,不可以,獨立套房
90,9999,1,1,中山區,台北市中山區民生東路二段115巷28弄17號,6,透天厝,0,1,0,男女生皆可,二個月,0,一年,0,開放式格局,1,1,4,0,1,0,1,已辦 ,0,1,0,1,6343649,5,1,0,無,可以,0,1,不可以,獨立套房
91,15000,1,1,士林區,台北市士林區通河街325巷78號,10,公寓,0,1,0,男女生皆可,二個月,0,一年,0,開放式格局,1,0,1,1,1,0,1,已辦 ,0,1,0,1,6344362,7,1,0,無,可以,0,1,可以,獨立套房
92,13500,1,1,文山區,台北市文山區羅斯福路五段236巷,6,公寓,0,1,0,男女生皆可,二個月,1,一年,坐北朝南,有陽臺,1,1,2,0,1,0,1,未辦 ,0,1,0,1,6346454,4,1,學生、上班族,無,不可以,0,1,不可以,獨立套房
93,10000,0,1,中正區,台北市中正區信陽街9號,5,公寓,0,1,0,男女生皆可,二個月,1,一年,坐北朝南,0,1,1,4,0,1,1,1,已辦 ,0,1,0,1,6360475,5,1,0,無,不可以,0,1,不可以,獨立套房
94,9500,1,1,大安區,台北市大安區泰順街,6.5,公寓,0,1,0,男女生皆可,二個月,1,一年,坐東朝西,有陽臺,1,1,5,0,1,1,1,已辦 ,0,0,0,1,6383061,5,1,學生、上班族,無,不可以,0,0,不可以,獨立套房
95,12000,1,1,信義區,台北市信義區永吉路321巷,8,公寓,0,1,0,男女生皆可,二個月,0,一年,0,0,1,0,2,0,1,0,1,已辦 ,0,1,0,1,6385428,4,1,上班族、家庭,無,不可以,0,1,不可以,獨立套房
96,16000,1,1,中山區,台北市中山區新生北路二段141巷,7,透天厝,0,1,0,男女生皆可,二個月,1,一年,坐南朝北,0,1,1,1,0,1,0,1,已辦 ,0,1,0,1,6349063,3,1,學生、上班族、家庭,無,可以,0,1,不可以,獨立套房
97,10000,0,1,中正區,台北市中正區信陽街11號,5,公寓,0,1,0,男女生皆可,二個月,1,一年,坐北朝南,0,1,1,2,0,1,1,1,已辦 ,0,1,0,1,6360455,4,1,0,無,不可以,0,1,不可以,獨立套房
98,14000,1,1,大安區,台北市大安區忠孝東路三段,7,公寓,0,1,0,女生,二個月,0,一年,0,開放式格局,1,1,5,0,1,0,1,已辦 ,0,1,0,1,6368494,5,1,上班族,無,不可以,0,1,不可以,獨立套房
99,11500,1,1,士林區,台北市士林區文林路144巷11號,6,公寓,0,1,0,男女生皆可,一個月,1,一年,0,0,1,1,3,0,1,0,1,已辦 ,0,1,0,1,6371153,3,1,學生,無,不可以,0,1,不可以,獨立套房
100,22000,1,1,中山區,台北市中山區長安東路二段,13.62,電梯大樓,0,1,0,男女生皆可,二個月,1,一年,0,樓中樓,1,1,5,1,1,0,1,已辦 ,0,0,0,0,6398855,13,1,學生、上班族、家庭,機械式停車位，費用另計,可以,0,1,不可以,獨立套房
101,18000,0,1,松山區,台北市松山區民生東路五段,10.5,電梯大樓,1,0,0,男女生皆可,二個月,0,一年,0,0,0,0,14,0,1,0,1,已辦 ,0,0,695,0,6405443,20,0,0,無,可以,0,0,不可以,獨立套房
102,9000,1,1,士林區,台北市士林區後港街193巷,5,透天厝,0,1,0,男女生皆可,二個月,0,一年,0,0,1,1,4,0,1,0,1,已辦 ,0,1,0,1,6407238,4,1,學生、上班族、家庭,無,可以,0,1,可以,獨立套房
103,22000,1,1,松山區,台北市松山區復興北路489號,12,電梯大樓,1,1,0,男女生皆可,二個月,1,一年,0,樓中樓、有陽臺,1,1,8,1,1,0,1,已辦 ,0,1,0,1,6407250,11,1,學生、上班族、家庭,無,不可以,0,1,不可以,獨立套房
