@relation yaFang_no_outlier
@attribute X1 numeric
@attribute X冰箱 numeric
@attribute X冷氣 numeric
@attribute X區 numeric
@attribute X地址 numeric
@attribute X坪數 numeric
@attribute X型態 numeric
@attribute X天然瓦斯 numeric
@attribute X床 numeric
@attribute X性別要求 numeric
@attribute X押金 numeric
@attribute X捷運站 numeric
@attribute X最短租期 numeric
@attribute X有陽臺 numeric
@attribute X樓中樓 numeric
@attribute X開放式格局 numeric
@attribute X桌子 numeric
@attribute X椅子 numeric
@attribute X樓層 numeric
@attribute X沙發 numeric
@attribute X洗衣機 numeric
@attribute X火車站 numeric
@attribute X熱水器 numeric
@attribute X第四台 numeric
@attribute X網路 numeric
@attribute X編號 numeric
@attribute X衣櫃 numeric
@attribute X身份要求 numeric
@attribute "X車 位" numeric
@attribute X開伙 numeric
@attribute X隔間材料 numeric
@attribute X電視 numeric
@attribute X養寵物 numeric
@attribute X現況 numeric
@attribute X總價格 numeric
@attribute 每坪租金 numeric
@data
558,1,1,中正區,台北市中正區林森南路99巷,5,公寓,1,1,男生,二個月,1,365,0,0,0,1,1,頂樓加蓋,0,1,0,1,0,0,6356278,1,學生、上班族,無,不可以,水泥磚牆,1,不可以,雅房,6500,1300
569,1,1,北投區,台北市北投區吉利街,5,公寓,0,1,男女生皆可,一個月,0,365,1,0,0,1,1,頂樓加蓋,0,1,0,1,1,1,6358489,1,0,無,不可以,水泥磚牆,0,不可以,雅房,7000,1400
621,0,1,大安區,台北市大安區和平東路二段118巷,3,公寓,0,1,男女生皆可,二個月,1,365,1,0,0,1,1,頂樓加蓋,1,1,0,1,0,0,6363144,1,學生、上班族,無,可以,輕材料,0,不可以,雅房,6000,2000
637,1,1,松山區,台北市松山區民權東路三段103巷14號,5,公寓,1,1,男生,二個月,1,365,0,0,0,1,1,頂樓加蓋,0,1,0,1,1,1,6364047,1,上班族,無,可以,其他,1,不可以,雅房,6000,1200
661,1,1,北投區,台北市北投區公館路63巷,5,公寓,1,1,女生,二個月,1,365,1,0,0,1,1,頂樓加蓋,0,1,0,1,1,1,6366847,1,學生、上班族,無,不可以,水泥磚牆,1,不可以,雅房,6000,1200
664,1,1,信義區,台北市信義區吳興街284巷22弄22號,2.5,公寓,0,1,女生,二個月,0,365,1,0,0,1,1,頂樓加蓋,0,1,0,1,0,1,6366988,1,學生、上班族,無,不可以,水泥磚牆,0,不可以,雅房,4800,1920
665,1,1,松山區,台北市松山區民生東路三段130巷,4,公寓,1,1,男女生皆可,一個月,1,365,0,0,0,1,1,頂樓加蓋,0,1,1,1,1,0,6367024,1,學生、上班族,無,不可以,水泥磚牆,0,不可以,雅房,4350,1087.5
715,1,1,大安區,台北市大安區泰順街50巷,5,公寓,1,1,女生,一個月,1,365,1,0,0,1,1,頂樓加蓋,0,1,0,1,0,1,6371503,1,學生、上班族,無,可以,其他,0,不可以,雅房,7400,1480
728,1,0,新店區,新北市新店區三民路,5,公寓,0,1,女生,二個月,0,365,1,0,0,1,1,頂樓加蓋,0,1,0,1,0,0,6372206,1,學生、上班族,無,不可以,水泥磚牆,0,不可以,雅房,5000,1000
735,1,1,中山區,台北市中山區民權東路一段70巷,8,公寓,1,1,女生,二個月,0,365,1,0,0,1,1,頂樓加蓋,0,1,0,1,1,0,6372838,1,學生、上班族,無,不可以,木板,1,不可以,雅房,8500,1062.5
738,1,1,板橋區,新北市板橋區德興街28巷15號,5,公寓,0,1,女生,二個月,1,180,0,0,1,1,1,頂樓加蓋,0,1,1,1,0,1,6373071,0,學生、上班族,無,不可以,水泥磚牆,0,可以,雅房,4200,840
743,1,1,士林區,台北市士林區中山北路六段290巷,6,公寓,0,1,男生,二個月,1,180,0,0,0,1,1,頂樓加蓋,1,1,0,1,0,1,6373469,1,學生、上班族,無,不可以,水泥磚牆,0,不可以,雅房,6500,1083.33333333333
762,1,1,文山區,台北市文山區溪口街107巷4弄1號,6,公寓,1,1,男女生皆可,二個月,1,365,1,0,0,1,1,頂樓加蓋,0,1,0,1,0,1,6375163,1,學生、上班族,無,不可以,水泥磚牆,0,可以,雅房,6000,1000
781,1,1,南港區,台北市南港區重陽路,5,公寓,0,1,男女生皆可,二個月,1,365,0,0,0,1,1,頂樓加蓋,0,1,1,1,1,1,6378396,1,學生、上班族,無,不可以,水泥磚牆,1,不可以,雅房,6000,1200
783,1,1,士林區,台北市士林區前港街58巷,3.5,公寓,0,1,女生,二個月,1,365,0,0,1,1,1,頂樓加蓋,0,1,0,1,1,1,6378402,1,學生、上班族,無,不可以,輕材料,1,不可以,雅房,5500,1571.42857142857
791,1,1,板橋區,新北市板橋區雙十路三段10巷,3.5,公寓,0,1,男生,二個月,0,180,0,0,0,1,1,頂樓加蓋,0,1,0,0,1,1,6379062,1,0,無,不可以,水泥磚牆,1,不可以,雅房,4500,1285.71428571429
809,1,1,南港區,台北市南港區成福路,4.5,公寓,1,1,男女生皆可,一個月,1,365,1,0,0,1,1,頂樓加蓋,1,1,1,0,1,1,6380542,1,學生、上班族,無,可以,輕材料,1,不可以,雅房,5500,1222.22222222222
843,0,1,南港區,台北市南港區南港路三段190巷9弄12號,5,公寓,1,1,男女生皆可,二個月,0,365,1,0,0,1,1,頂樓加蓋,0,1,0,1,0,0,6383047,1,學生、上班族、家庭,無,可以,水泥磚牆,0,可以,雅房,5000,1000
868,1,1,內湖區,台北市內湖區麗山街68巷,4,公寓,1,1,男生,二個月,1,365,0,0,0,1,1,頂樓加蓋,0,1,0,1,1,1,6384561,1,學生、上班族,無,不可以,水泥磚牆,0,不可以,雅房,5800,1450
869,1,0,三重區,新北市三重區仁忠街,5,公寓,0,1,男女生皆可,二個月,0,365,0,0,0,1,1,頂樓加蓋,0,0,0,0,1,0,6384582,1,0,無,不可以,水泥磚牆,1,不可以,雅房,6000,1200
870,1,1,信義區,台北市信義區基隆路一段147巷,7,公寓,0,1,男女生皆可,一個月,1,365,0,0,0,1,1,頂樓加蓋,0,1,0,1,0,0,6384662,1,學生、上班族、家庭,無,不可以,水泥磚牆,0,不可以,雅房,8000,1142.85714285714
875,1,1,松山區,台北市松山區延壽街,5,公寓,1,1,男女生皆可,面議,0,365,1,0,0,1,1,頂樓加蓋,1,1,0,1,1,1,6385030,1,學生、上班族、家庭,無,可以,水泥磚牆,1,可以,雅房,9000,1800
894,1,0,信義區,台北市信義區松信路,3,公寓,0,1,男生,一個月,0,365,0,0,0,1,1,頂樓加蓋,0,0,1,1,0,0,6386240,1,學生、上班族,無,不可以,水泥磚牆,0,不可以,雅房,5500,1833.33333333333
899,1,0,新店區,新北市新店區自立街,5,公寓,1,0,男生,二個月,1,365,0,0,0,1,1,頂樓加蓋,0,1,0,1,0,0,6386417,0,上班族,無,可以,水泥磚牆,0,不可以,雅房,4000,800
905,1,1,中正區,台北市中正區忠孝東路二段,4,公寓,1,1,女生,二個月,1,365,1,0,0,1,1,頂樓加蓋,0,1,1,1,1,1,6387162,1,學生、上班族,無,不可以,防火輕隔間,1,不可以,雅房,8500,2125
907,1,1,內湖區,台北市內湖區康樂街136巷,6,公寓,1,1,女生,二個月,1,365,0,0,0,1,1,頂樓加蓋,0,1,0,1,1,1,6387479,1,學生、上班族,無,不可以,水泥磚牆,1,不可以,雅房,5000,833.333333333333
919,1,1,三重區,新北市三重區自強路三段76巷,9,公寓,0,1,男女生皆可,二個月,1,365,0,0,0,0,0,頂樓加蓋,0,1,0,1,0,0,6388496,1,0,無,不可以,水泥磚牆,0,不可以,雅房,9000,1000
922,1,1,北投區,台北市北投區大度路三段301巷,6,公寓,0,1,男女生皆可,二個月,1,365,0,0,0,1,1,頂樓加蓋,0,1,0,1,1,1,6388636,1,學生、上班族、家庭,無,可以,水泥磚牆,1,不可以,雅房,5500,916.666666666667
962,1,0,中正區,台北市中正區永春街212巷7號,7,透天厝,0,1,女生,面議,0,365,1,0,0,0,0,頂樓加蓋,0,1,0,0,1,0,6391948,0,0,無,不可以,水泥磚牆,0,不可以,雅房,5500,785.714285714286
968,1,1,文山區,台北市文山區光輝路47巷,3,公寓,1,1,男女生皆可,一個月,1,365,1,0,0,1,1,頂樓加蓋,0,1,0,1,0,1,6392873,1,學生、上班族,無,可以,水泥磚牆,1,不可以,雅房,6000,2000
974,1,1,松山區,台北市松山區南京東路五段250巷36弄4號,5,公寓,1,1,男女生皆可,面議,0,365,1,0,0,1,1,頂樓加蓋,1,1,0,1,0,1,6393190,0,0,無,不可以,木板,0,不可以,雅房,10000,2000
1004,0,1,松山區,台北市松山區寧安街6號,4,公寓,0,1,男女生皆可,二個月,1,365,0,0,0,0,0,頂樓加蓋,0,1,1,1,0,0,6396485,1,學生、上班族、家庭,無,不可以,木板,0,不可以,雅房,5800,1450
