@relation duLiTao_no_outlier
@attribute X1 numeric
@attribute X冰箱 numeric
@attribute X冷氣 numeric
@attribute X區 numeric
@attribute X地址 numeric
@attribute X坪數 numeric
@attribute X型態 numeric
@attribute X天然瓦斯 numeric
@attribute X床 numeric
@attribute X性別要求 numeric
@attribute X押金 numeric
@attribute X捷運站 numeric
@attribute X最短租期 numeric
@attribute X有陽臺 numeric
@attribute X樓中樓 numeric
@attribute X開放式格局 numeric
@attribute X桌子 numeric
@attribute X椅子 numeric
@attribute X樓層 numeric
@attribute X沙發 numeric
@attribute X洗衣機 numeric
@attribute X火車站 numeric
@attribute X熱水器 numeric
@attribute X第四台 numeric
@attribute X網路 numeric
@attribute X編號 numeric
@attribute X衣櫃 numeric
@attribute X身份要求 numeric
@attribute "X車 位" numeric
@attribute X開伙 numeric
@attribute X隔間材料 numeric
@attribute X電視 numeric
@attribute X養寵物 numeric
@attribute X現況 numeric
@attribute X總價格 numeric
@attribute 每坪租金 numeric
@data
1287,1,1,北投區,台北市北投區大同街290號,6,公寓,0,1,男女生皆可,二個月,0,365,0,0,0,1,1,頂樓加蓋,0,1,0,1,1,1,6334664,1,學生、上班族、家庭,無,不可以,水泥磚牆,1,不可以,獨立套房,8000,1333.33333333333
1380,0,1,文山區,台北市文山區木新路二段,6,公寓,1,1,男生,二個月,0,365,1,0,0,1,1,頂樓加蓋,1,1,0,1,0,0,6337182,1,學生、上班族,無,不可以,水泥磚牆,0,不可以,獨立套房,7000,1166.66666666667
1382,1,1,大安區,台北市大安區樂業街94巷,6,公寓,0,1,男女生皆可,二個月,0,180,0,0,0,1,1,頂樓加蓋,0,1,0,1,1,1,6337240,1,學生、上班族,無,可以,水泥磚牆,1,不可以,獨立套房,9500,1583.33333333333
1506,1,1,中和區,新北市中和區景平路,6,公寓,0,1,男女生皆可,二個月,1,365,0,0,0,1,1,頂樓加蓋,1,1,0,1,1,1,6340357,1,學生、上班族,無,可以,水泥磚牆,1,不可以,獨立套房,8000,1333.33333333333
1508,1,1,士林區,台北市士林區中山北路六段290巷,6,公寓,0,1,女生,二個月,1,365,0,0,0,1,1,頂樓加蓋,0,1,0,1,0,1,6340389,1,學生、上班族,無,不可以,水泥磚牆,1,不可以,獨立套房,8000,1333.33333333333
1904,1,1,中山區,台北市中山區松江路362巷,6,公寓,1,1,男女生皆可,二個月,0,365,0,0,0,1,1,頂樓加蓋,1,1,0,1,1,1,6350518,1,學生、上班族、家庭,無,可以,水泥磚牆,1,可以,獨立套房,8000,1333.33333333333
2213,1,1,松山區,台北市松山區八德路四段245巷,6,電梯大樓,1,0,男女生皆可,二個月,1,365,1,0,0,1,1,頂樓加蓋,0,1,0,1,1,1,6357363,1,學生、上班族、家庭,無,可以,水泥磚牆,1,不可以,獨立套房,11500,1916.66666666667
2506,1,1,中和區,新北市中和區華新街192巷,6,公寓,0,1,男女生皆可,二個月,1,365,0,0,0,1,1,頂樓加蓋,0,1,0,1,1,1,6363672,1,學生、上班族,無,不可以,水泥磚牆,1,不可以,獨立套房,6000,1000
2579,1,1,蘆洲區,新北市蘆洲區長榮路,6,公寓,0,1,男女生皆可,二個月,0,365,0,0,1,1,1,頂樓加蓋,0,1,0,1,1,1,6365080,1,學生、上班族,無,不可以,水泥磚牆,1,不可以,獨立套房,6500,1083.33333333333
3017,1,1,大安區,台北市大安區永康街31巷,6,公寓,1,1,男女生皆可,二個月,1,365,0,0,0,1,1,頂樓加蓋,0,1,0,1,1,1,6374194,1,學生、上班族,無,不可以,水泥磚牆,1,不可以,獨立套房,10500,1750
3411,1,1,永和區,新北市永和區四維街00巷,6,公寓,1,1,男女生皆可,二個月,0,365,0,0,0,1,1,頂樓加蓋,0,1,0,1,0,1,6381995,1,學生、上班族,無,不可以,水泥磚牆,0,不可以,獨立套房,6500,1083.33333333333
3529,1,1,松山區,台北市松山區健康路,6,電梯大樓,0,1,男女生皆可,面議,1,365,0,0,0,1,1,頂樓加蓋,0,1,0,1,1,1,6384179,1,學生、上班族,無,可以,水泥磚牆,1,不可以,獨立套房,16000,2666.66666666667
